domain,price,currency,date,source,venue,tld
mim.com,110000,USD,2020-12-31,dnjournal_ytd,,com
bc.xyz,110000,USD,2023-12-31,dnjournal_ytd,,xyz
profile.net,108897,USD,2024-12-31,dnjournal_ytd,,net
confirm.com,108000,USD,2020-12-31,dnjournal_ytd,,com
january.com,107000,USD,2020-12-31,dnjournal_ytd,,com
vaninsurance.co.uk,106769,USD,2020-12-31,dnjournal_ytd,,uk
daga.com,106000,USD,2023-12-31,dnjournal_ytd,,com
evo.io,105000,USD,2024-12-31,dnjournal_ytd,,io
gaming.io,105000,USD,2022-12-31,dnjournal_ytd,,io
capital.xyz,105000,USD,2022-12-31,dnjournal_ytd,,xyz
crew.ai,104900,USD,2024-12-31,dnjournal_ytd,,ai
profile.xyz,104000,USD,2022-12-31,dnjournal_ytd,,xyz
sportsbet.xyz,103910,USD,2022-12-31,dnjournal_ytd,,xyz
iagent.com,102000,USD,2020-12-31,dnjournal_ytd,,com
auto.ae,101000,USD,2022-12-31,dnjournal_ytd,,ae
greenstreet.com,100890,USD,2020-12-31,dnjournal_ytd,,com
homefinance.com,100890,USD,2020-12-31,dnjournal_ytd,,com
nrh.com,100000,USD,2020-12-31,dnjournal_ytd,,com
nevis.com,100000,USD,2023-12-31,dnjournal_ytd,,com
de.fi,100000,USD,2023-12-31,dnjournal_ytd,,fi
